IPV4直播,#genre#
汉中1 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226331/index.m3u8
汉中2 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225990/index.m3u8
汉中3 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/index.m3u8
佛坪 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226454/index.m3u8
千阳 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226945/index.m3u8
石源 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226965/index.m3u8
吴起 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226967/index.m3u8
西乡 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/index.m3u8
洋县 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226938/index.m3u8
商洛1 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226378/index.m3u8
乐游 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8
安康 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226385/index.m3u8
宝鸡1 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226383/index.m3u8
宝鸡2 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226384/index.m3u8
城固 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226920/index.m3u8
信号测试1 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
信号测试2 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
哒啵电竞 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226951/index.m3u8
哒啵赛事 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226954/index.m3u8
未知 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226982/index.m3u8
FG 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226990/index.m3u8
金色学堂 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226994/index.m3u8
神木11 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226993/index.m3u8
江苏卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225746/index.m3u8
新疆卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
湖南金鹰卡通 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
北京卡酷少儿 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
宁夏卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
河北卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
中国教育1 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
甘肃卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
深圳卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8
云南卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
中国教育2 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
广东卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225757/index.m3u8
湖北卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8
山西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
江西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
东南卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
河南卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
天津卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
四川卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
山东卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225771/index.m3u8
海南卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
广西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
安徽卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225773/index.m3u8
辽宁卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225772/index.m3u8
内蒙古卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
湖南卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225787/index.m3u8
东方卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225789/index.m3u8
浙江卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225788/index.m3u8
北京卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225790/index.m3u8
吉林卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
重庆卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8
江苏优漫卡通 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
青海卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225794/index.m3u8
贵州卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
陕西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
西藏卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
上海哈哈炫动 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
兵团卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
厦门卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
广东大湾区卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
吉林延边卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
中国教育3 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
中国教育4 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
青海安多卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
广东嘉佳卡通 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
陕西农林卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
四川康巴卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
中央新影发现之旅 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
山东教育卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
CCTV女性时尚 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226237/index.m3u8
中央新影老故事 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8
京视剧场 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226243/index.m3u8
京视剧场 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
置业频道 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226241/index.m3u8
栾坛春秋 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
NNM家庭理财 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226244/index.m3u8
NNM家庭理财 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226247/index.m3u8
陕西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226356/index.m3u8
陕西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226388/index.m3u8
宁强2 1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226389/index.m3u8
陕西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226458/index.m3u8
陕西卫视 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226893/index.m3u8
勉县综合 576,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226952/index.m3u8

IPV6直播,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
